data,valor
2003-01-01,70.54014
2003-02-01,71.71708
2003-03-01,71.37087
2003-04-01,70.86815
2003-05-01,70.16182
2003-06-01,70.30218
2003-07-01,69.44158
2003-08-01,69.99205
2003-09-01,71.5044
2003-10-01,71.53471
2003-11-01,71.60911
2003-12-01,71.40775
2004-01-01,72.76183
2004-02-01,73.46123
2004-03-01,74.29141
2004-04-01,74.72933
2004-05-01,74.63963
2004-06-01,75.24522
2004-07-01,75.56741
2004-08-01,75.91437
2004-09-01,76.70566
2004-10-01,76.28661
2004-11-01,76.98878
2004-12-01,76.41941
2005-01-01,76.91385
2005-02-01,77.39251
2005-03-01,77.45919
2005-04-01,77.97712
2005-05-01,77.92625
2005-06-01,77.50633
2005-07-01,77.47412
2005-08-01,78.04667
2005-09-01,77.86601
2005-10-01,77.99558
2005-11-01,78.51998
2005-12-01,79.12439
2006-01-01,79.75048
2006-02-01,79.82771
2006-03-01,79.66934
2006-04-01,80.18437
2006-05-01,81.19662
2006-06-01,80.35585
2006-07-01,81.79552
2006-08-01,81.80184
2006-09-01,81.97428
2006-10-01,82.91551
2006-11-01,83.46534
2006-12-01,84.5239
2007-01-01,84.22978
2007-02-01,84.46803
2007-03-01,83.87398
2007-04-01,84.99658
2007-05-01,85.78458
2007-06-01,86.41527
2007-07-01,86.9218
2007-08-01,87.10758
2007-09-01,87.79489
2007-10-01,88.64035
2007-11-01,88.59399
2007-12-01,89.39792
2008-01-01,89.53501
2008-02-01,89.26231
2008-03-01,88.66528
2008-04-01,89.85574
2008-05-01,90.77506
2008-06-01,91.73077
2008-07-01,91.62645
2008-08-01,91.83693
2008-09-01,91.75438
2008-10-01,89.9532
2008-11-01,87.74784
2008-12-01,85.32196
2009-01-01,85.18104
2009-02-01,85.87897
2009-03-01,86.32776
2009-04-01,86.70469
2009-05-01,87.56475
2009-06-01,88.18444
2009-07-01,88.31221
2009-08-01,89.74881
2009-09-01,90.46656
2009-10-01,91.2001
2009-11-01,91.29162
2009-12-01,92.66171
2010-01-01,94.03738
2010-02-01,94.95098
2010-03-01,95.84881
2010-04-01,96.35168
2010-05-01,95.61038
2010-06-01,95.4348
2010-07-01,95.95425
2010-08-01,96.55481
2010-09-01,97.43226
2010-10-01,97.27568
2010-11-01,98.36148
2010-12-01,97.3468
2011-01-01,98.54573
2011-02-01,98.93056
2011-03-01,98.95536
2011-04-01,98.9754
2011-05-01,99.14814
2011-06-01,99.58249
2011-07-01,99.67966
2011-08-01,99.57438
2011-09-01,99.47065
2011-10-01,99.40741
2011-11-01,99.88787
2011-12-01,98.93251
2012-01-01,97.68713
2012-02-01,98.59861
2012-03-01,98.39728
2012-04-01,98.88406
2012-05-01,100.02184
2012-06-01,100.74992
2012-07-01,100.90759
2012-08-01,101.2461
2012-09-01,100.83825
2012-10-01,101.67649
2012-11-01,101.5312
2012-12-01,101.12803
2013-01-01,101.72652
2013-02-01,100.83127
2013-03-01,101.75721
2013-04-01,102.82795
2013-05-01,103.06071
2013-06-01,102.74972
2013-07-01,103.0453
2013-08-01,103.36825
2013-09-01,103.91069
2013-10-01,103.90956
2013-11-01,104.14024
2013-12-01,104.4596
2014-01-01,104.03523
2014-02-01,103.81047
2014-03-01,103.65473
2014-04-01,103.21696
2014-05-01,102.82681
2014-06-01,100.72905
2014-07-01,101.43117
2014-08-01,102.29249
2014-09-01,102.85874
2014-10-01,102.07059
2014-11-01,102.19887
2014-12-01,102.6467
2015-01-01,101.81488
2015-02-01,101.09865
