data,var_mom,acum_ano,acum_12m
2020-11-01,0.4,-5.5,-5.2
2020-12-01,-0.5,-4.5,-4.5
2021-01-01,0.7,2.4,-4.2
2021-02-01,-1.5,1.3,-4.2
2021-03-01,-2.1,4.4,-3.1
2021-04-01,-1.8,10.5,1.2
2021-05-01,1.1,13.2,4.9
2021-06-01,-0.4,13.0,6.6
2021-07-01,-1.3,11.0,7.0
2021-08-01,-0.1,9.3,7.2
2021-09-01,-0.3,7.6,6.5
2021-10-01,-0.5,5.7,5.7
2021-11-01,0.0,4.7,5.0
2021-12-01,1.5,3.9,3.9
2022-01-01,-0.1,-5.6,3.3
2022-02-01,0.9,-4.1,3.1
2022-03-01,-0.8,-3.4,2.0
2022-04-01,0.6,-2.5,0.0
2022-05-01,-0.5,-2.1,-1.7
2022-06-01,-0.1,-1.8,-2.6
2022-07-01,1.2,-1.6,-2.8
2022-08-01,-1.6,-1.1,-2.6
2022-09-01,-1.5,-1.1,-2.3
2022-10-01,1.5,-0.9,-1.5
2022-11-01,0.0,-0.7,-1.1
2022-12-01,0.0,-0.7,-0.7
2023-01-01,0.0,0.3,-0.2
2023-02-01,-0.1,-1.2,-0.2
2023-03-01,0.8,-0.4,0.0
2023-04-01,-0.5,-1.0,-0.2
2023-05-01,0.6,-0.3,0.0
2023-06-01,-0.4,-0.3,0.1
2023-07-01,-0.5,-0.5,0.0
2023-08-01,0.4,-0.3,-0.2
2023-09-01,-0.4,-0.2,0.0
2023-10-01,0.4,-0.1,0.0
2023-11-01,1.1,0.1,0.0
2023-12-01,1.6,0.1,0.1
2024-01-01,-1.2,3.7,0.4
2024-02-01,0.2,4.7,1.0
2024-03-01,0.5,2.0,0.7
2024-04-01,-0.4,3.5,1.5
2024-05-01,-1.2,2.5,1.2
2024-06-01,4.5,2.6,1.5
2024-07-01,-1.4,3.2,2.2
2024-08-01,-0.3,3.1,2.4
2024-09-01,1.0,3.1,2.6
2024-10-01,0.0,3.4,3.0
2024-11-01,-0.7,3.2,3.1
2024-12-01,-0.4,3.1,3.1
2025-01-01,0.1,1.3,2.9
2025-02-01,0.0,1.3,2.6
2025-03-01,1.8,2.0,3.1
2025-04-01,-0.8,1.4,2.4
2025-05-01,-0.5,1.8,2.8
2025-06-01,0.1,1.3,2.4
2025-07-01,-0.1,1.1,1.9
2025-08-01,0.7,0.9,1.6
2025-09-01,-0.4,1.0,1.5
2025-10-01,0.1,0.8,0.9
