data,var_mom,acum_ano,acum_12m
2020-11-01,-0.3,1.2,1.3
2020-12-01,-2.8,1.2,1.2
2021-01-01,-2.9,-0.4,1.0
2021-02-01,0.5,-2.1,0.4
2021-03-01,-3.8,-0.7,0.6
2021-04-01,2.8,4.5,3.6
2021-05-01,5.1,6.8,5.4
2021-06-01,-2.1,6.7,5.9
2021-07-01,3.6,6.6,5.9
2021-08-01,-4.7,5.1,5.0
2021-09-01,-1.4,3.9,3.9
2021-10-01,0.3,2.6,2.6
2021-11-01,1.2,1.9,1.9
2021-12-01,-0.2,1.4,1.4
2022-01-01,-1.7,-1.5,1.3
2022-02-01,2.1,-0.2,1.7
2022-03-01,0.3,1.6,1.9
2022-04-01,0.8,2.3,0.7
2022-05-01,2.7,1.8,-0.4
2022-06-01,-3.1,1.4,-0.9
2022-07-01,-0.7,0.4,-1.8
2022-08-01,0.6,0.5,-1.4
2022-09-01,0.8,0.8,-0.7
2022-10-01,0.5,1.0,0.1
2022-11-01,-0.5,1.1,0.6
2022-12-01,-0.6,1.0,1.0
2023-01-01,1.2,2.7,1.3
2023-02-01,-0.1,2.0,1.3
2023-03-01,0.5,2.5,1.2
2023-04-01,-0.2,2.0,0.9
2023-05-01,-0.7,1.4,0.8
2023-06-01,0.8,1.4,1.0
2023-07-01,0.5,1.5,1.6
2023-08-01,0.2,1.7,1.7
2023-09-01,0.5,1.8,1.7
2023-10-01,-0.4,1.7,1.5
2023-11-01,0.7,1.8,1.6
2023-12-01,0.1,1.7,1.7
2024-01-01,1.0,4.0,1.8
2024-02-01,0.3,5.6,2.3
2024-03-01,-0.3,5.4,2.4
2024-04-01,0.9,4.4,2.5
2024-05-01,1.3,4.9,3.1
2024-06-01,-1.0,4.7,3.3
2024-07-01,0.7,4.5,3.4
2024-08-01,-0.2,4.5,3.6
2024-09-01,0.7,4.2,3.4
2024-10-01,0.3,4.4,3.9
2024-11-01,-0.2,4.4,4.1
2024-12-01,-0.2,4.1,4.1
2025-01-01,0.2,3.2,4.0
2025-02-01,0.5,2.4,3.6
2025-03-01,0.7,1.3,3.1
2025-04-01,-0.3,2.3,3.4
2025-05-01,-0.4,2.2,3.0
2025-06-01,-0.1,1.9,2.8
2025-07-01,-0.2,1.8,2.5
2025-08-01,0.1,1.6,2.2
2025-09-01,-0.2,1.5,2.1
2025-10-01,0.5,1.5,1.7
