data,var_mom,acum_ano,acum_12m
2020-11-01,2.2,-8.3,-7.4
2020-12-01,-0.1,-7.8,-7.8
2021-01-01,1.7,-5.0,-8.4
2021-02-01,2.9,-3.5,-8.6
2021-03-01,-4.9,-0.8,-8.0
2021-04-01,3.0,3.8,-5.3
2021-05-01,1.5,7.3,-2.1
2021-06-01,2.4,9.5,0.4
2021-07-01,0.6,10.7,2.9
2021-08-01,0.8,11.4,5.1
2021-09-01,-0.8,11.5,6.8
2021-10-01,-0.7,11.0,8.1
2021-11-01,2.7,10.9,9.5
2021-12-01,2.6,10.9,10.9
2022-01-01,-1.0,9.4,12.2
2022-02-01,0.3,8.4,13.0
2022-03-01,0.6,9.5,13.6
2022-04-01,0.5,9.5,12.8
2022-05-01,0.5,9.4,11.7
2022-06-01,0.3,8.9,10.5
2022-07-01,1.0,8.5,9.6
2022-08-01,1.5,8.5,9.0
2022-09-01,0.7,8.6,8.8
2022-10-01,-0.2,8.7,9.0
2022-11-01,-0.2,8.5,8.7
2022-12-01,2.6,8.3,8.3
2023-01-01,-3.1,5.1,7.9
2023-02-01,0.8,4.9,7.7
2023-03-01,1.4,5.5,7.3
2023-04-01,-1.5,4.8,6.7
2023-05-01,1.0,4.8,6.4
2023-06-01,0.1,4.7,6.2
2023-07-01,0.6,4.6,6.0
2023-08-01,-0.2,4.2,5.4
2023-09-01,-0.9,3.7,4.6
2023-10-01,0.0,3.5,3.9
2023-11-01,1.3,3.3,3.5
2023-12-01,0.6,2.9,2.9
2024-01-01,0.9,5.1,2.9
2024-02-01,-0.5,4.5,2.9
2024-03-01,0.1,2.5,2.2
2024-04-01,0.2,3.4,2.5
2024-05-01,-0.7,2.9,2.1
2024-06-01,1.6,2.7,2.0
2024-07-01,0.2,2.9,2.0
2024-08-01,-0.3,2.8,2.0
2024-09-01,1.0,2.9,2.3
2024-10-01,1.3,3.2,2.7
2024-11-01,-1.2,3.2,2.8
2024-12-01,0.1,3.2,3.2
2025-01-01,-0.4,1.1,2.8
2025-02-01,0.8,2.7,2.9
2025-03-01,0.4,2.4,3.1
2025-04-01,0.3,2.3,2.8
2025-05-01,0.2,2.6,3.1
2025-06-01,0.4,2.7,3.1
2025-07-01,0.3,2.7,3.0
2025-08-01,0.2,2.7,3.1
2025-09-01,0.7,2.9,3.1
2025-10-01,0.3,2.8,2.8
