data,valor
2023-11-29,4.8927
2023-11-30,4.9349
2023-12-01,4.9185
2023-12-04,4.9085
2023-12-05,4.9516
2023-12-06,4.9025
2023-12-07,4.8943
2023-12-08,4.9152
2023-12-11,4.9434
2023-12-12,4.947
2023-12-13,4.9573
2023-12-14,4.8906
2023-12-15,4.9391
2023-12-18,4.9393
2023-12-19,4.8657
2023-12-20,4.876
2023-12-21,4.8749
2023-12-22,4.8613
2023-12-26,4.8362
2023-12-27,4.83
2023-12-28,4.8407
2023-12-29,4.8407
2024-01-02,4.891
2024-01-03,4.9206
2024-01-04,4.9182
2024-01-05,4.8893
2024-01-08,4.8844
2024-01-09,4.8931
2024-01-10,4.8895
2024-01-11,4.8788
2024-01-12,4.8537
2024-01-15,4.8759
2024-01-16,4.9032
2024-01-17,4.934
2024-01-18,4.9397
2024-01-19,4.9217
2024-01-22,4.9484
2024-01-23,4.9709
2024-01-24,4.9186
2024-01-25,4.9226
2024-01-26,4.9119
2024-01-29,4.9219
2024-01-30,4.9632
2024-01-31,4.9529
2024-02-01,4.9344
2024-02-02,4.9465
2024-02-05,5.0047
2024-02-06,4.9681
2024-02-07,4.9602
2024-02-08,4.9798
2024-02-09,4.9711
2024-02-14,4.9717
2024-02-15,4.9704
2024-02-16,4.9755
2024-02-19,4.9579
2024-02-20,4.9402
2024-02-21,4.9297
2024-02-22,4.9413
2024-02-23,4.9845
2024-02-26,4.9813
2024-02-27,4.9569
2024-02-28,4.9551
2024-02-29,4.9827
2024-03-01,4.959
2024-03-04,4.9469
2024-03-05,4.9482
2024-03-06,4.9392
2024-03-07,4.9358
2024-03-08,4.9745
2024-03-11,4.9771
2024-03-12,4.9807
2024-03-13,4.9797
2024-03-14,4.9762
2024-03-15,4.9931
2024-03-18,5.0118
2024-03-19,5.0346
2024-03-20,5.0114
2024-03-21,4.9801
2024-03-22,4.9891
2024-03-25,4.9863
2024-03-26,4.9864
2024-03-27,4.985
2024-03-28,4.9956
2024-04-01,5.0526
2024-04-02,5.0469
2024-04-03,5.0718
2024-04-04,5.0231
2024-04-05,5.0514
2024-04-08,5.0415
2024-04-09,5.0074
2024-04-10,5.0648
2024-04-11,5.0759
2024-04-12,5.1358
2024-04-15,5.174
2024-04-16,5.2628
2024-04-17,5.2463
2024-04-18,5.2506
2024-04-19,5.2263
2024-04-22,5.2037
2024-04-23,5.162
2024-04-24,5.1586
2024-04-25,5.1673
2024-04-26,5.1178
2024-04-29,5.1149
2024-04-30,5.1712
2024-05-02,5.1178
2024-05-03,5.0662
2024-05-06,5.0721
2024-05-07,5.0604
2024-05-08,5.0881
2024-05-09,5.1571
2024-05-10,5.1458
2024-05-13,5.1406
2024-05-14,5.135
2024-05-15,5.1417
2024-05-16,5.1264
2024-05-17,5.1151
2024-05-20,5.1079
2024-05-21,5.1031
2024-05-22,5.1496
2024-05-23,5.1437
2024-05-24,5.1502
2024-05-27,5.1698
2024-05-28,5.1532
2024-05-29,5.1966
2024-05-31,5.241
2024-06-03,5.2367
2024-06-04,5.2681
2024-06-05,5.2835
2024-06-06,5.2675
2024-06-07,5.2796
2024-06-10,5.366
2024-06-11,5.3519
2024-06-12,5.3885
2024-06-13,5.3968
2024-06-14,5.3624
2024-06-17,5.4124
2024-06-18,5.4068
2024-06-19,5.4641
2024-06-20,5.4248
2024-06-21,5.441
2024-06-24,5.3994
2024-06-25,5.4283
2024-06-26,5.5091
2024-06-27,5.5223
2024-06-28,5.5583
2024-07-01,5.5887
2024-07-02,5.6671
2024-07-03,5.5857
2024-07-04,5.4833
2024-07-05,5.4964
