data_curva,PRAZO_DU,TAXA_PREF,TAXA_IPCA,data_ref
2025-11-17,252,13.7708,9.3538,2025-11-18
2025-11-17,378,13.2697,8.5946,2025-11-18
2025-11-17,504,13.0224,8.2206,2025-11-18
2025-11-17,630,12.9538,8.0287,2025-11-18
2025-11-17,756,12.9916,7.9208,2025-11-18
2025-11-17,882,13.0852,7.8503,2025-11-18
2025-11-17,1008,13.2028,7.7956,2025-11-18
2025-11-17,1134,13.3251,7.7472,2025-11-18
2025-11-17,1260,13.441,7.7011,2025-11-18
2025-11-17,1386,13.5443,7.6561,2025-11-18
2025-11-17,1512,13.632,7.612,2025-11-18
2025-11-17,1638,13.7028,7.5689,2025-11-18
2025-11-17,1764,13.7565,7.5271,2025-11-18
2025-11-17,1890,13.7935,7.4869,2025-11-18
2025-11-17,2016,13.8149,7.4486,2025-11-18
2025-11-17,2142,13.8215,7.4121,2025-11-18
2025-11-17,2268,13.8148,7.3777,2025-11-18
