24/11/2025;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;6,07119946452216E-02;8,93675605898996E-02;7,01627008576089E-02;0,228882900449998;2,12208516266285;0,178190116937795
IPCA;6,60505688567961E-02;7,37498501153254E-02;-6,66107405180697E-02;3,41614596527468E-02;1,3991278432279;0,531327979174415

ETTJ Inflação Implicita (IPCA)
Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
252;9,2753;13,6603;4,0128
378;8,5352;13,1490;4,2509
504;8,1739;12,9029;4,3716
630;7,9900;12,8379;4,4892
756;7,8867;12,8792;4,6275
882;7,8184;12,9755;4,7831
1.008;7,7644;13,0948;4,9463
1.134;7,7157;13,2180;5,1081
1.260;7,6689;13,3343;5,2618
1.386;7,6230;13,4377;5,4028
1.512;7,5780;13,5251;5,5281
1.638;7,5341;13,5954;5,6366
1.764;7,4916;13,6484;5,7277
1.890;7,4510;13,6848;5,8015
2.016;7,4124;13,7054;5,8587
2.142;7,3759;13,7113;5,9002
2.268;7,3415;13,7038;5,9271
2.394;7,3092;;
2.520;7,2790;;
2.646;7,2507;;
2.772;7,2243;;
2.898;7,1996;;
3.024;7,1766;;
3.150;7,1551;;
3.276;7,1349;;
3.402;7,1161;;
3.528;7,0984;;
3.654;7,0819;;
3.780;7,0663;;
3.906;7,0517;;
4.032;7,0380;;
4.158;7,0250;;
4.284;7,0128;;
4.410;7,0012;;
4.536;6,9903;;
4.662;6,9799;;
4.788;6,9701;;
4.914;6,9608;;
5.040;6,9519;;
5.166;6,9435;;
5.292;6,9354;;
5.418;6,9277;;
5.544;6,9204;;
5.670;6,9134;;
5.796;6,9067;;
5.922;6,9003;;
6.048;6,8942;;
6.174;6,8883;;
6.300;6,8826;;
6.426;6,8771;;
6.552;6,8719;;
6.678;6,8669;;
6.804;6,8620;;
6.930;6,8574;;
7.056;6,8529;;
7.182;6,8485;;
7.308;6,8443;;
7.434;6,8403;;
7.560;6,8363;;
7.686;6,8325;;
7.812;6,8289;;
7.938;6,8253;;
8.064;6,8219;;
8.190;6,8185;;
8.316;6,8153;;
8.442;6,8122;;
8.568;6,8091;;

PREFIXADOS (CIRCULAR 3.361)
Vertices;Taxa (%a.a.)
21;14,9824
42;14,9153
63;14,8185
126;14,4355
252;13,6603
504;12,9029
756;12,8792
1.008;13,0948
1.260;13,3343
2.520;

Erro Título a Título
Titulo;SELIC;Vencimento;Erro (%a.a.)
LTN;100000;01/01/2026;0,0600
LTN;100000;01/04/2026;0,0054
LTN;100000;01/07/2026;-0,0434
LTN;100000;01/10/2026;-0,0224
LTN;100000;01/04/2027;-0,0123
LTN;100000;01/07/2027;-0,0035
LTN;100000;01/10/2027;-0,0082
LTN;100000;01/01/2028;0,0475
LTN;100000;01/07/2028;0,0501
LTN;100000;01/01/2029;-0,0042
LTN;100000;01/07/2029;-0,0208
LTN;100000;01/01/2030;0,0163
LTN;100000;01/01/2032;0,0984
NTN-F;950199;01/01/2027;0,0371
NTN-F;950199;01/01/2029;-0,0322
NTN-F;950199;01/01/2031;-0,0376
NTN-F;950199;01/01/2033;0,0066
NTN-F;950199;01/01/2035;-0,0124
NTN-B;760199;15/08/2026;-0,0748
NTN-B;760199;15/05/2027;0,0631
NTN-B;760199;15/08/2028;-0,0354
NTN-B;760199;15/05/2029;0,0177
NTN-B;760199;15/08/2030;0,0086
NTN-B;760199;15/08/2032;-0,0227
NTN-B;760199;15/05/2033;-0,0285
NTN-B;760199;15/05/2035;0,0377
NTN-B;760199;15/08/2040;0,0119
NTN-B;760199;15/05/2045;-0,0149
NTN-B;760199;15/08/2050;0,0287
NTN-B;760199;15/05/2055;-0,0078
NTN-B;760199;15/08/2060;-0,0164

