19/12/2025;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;8,09949991894969E-02;6,63617285984061E-02;0,062054677043346;0,17533761263388;2,63597349213477;0,204092070015612
IPCA;6,78671807094004E-02;6,97905628725553E-02;-7,40408736234266E-02;3,99500468479041E-02;1,38501954059615;0,650404465868332

ETTJ Inflação Implicita (IPCA)
Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
252;9,2623;13,7409;4,0989
378;8,5803;13,3601;4,4020
504;8,2538;13,2298;4,5966
630;8,0876;13,2439;4,7704
756;7,9909;13,3276;4,9418
882;7,9225;13,4376;5,1102
1.008;7,8648;13,5505;5,2711
1.134;7,8110;13,6544;5,4200
1.260;7,7590;13,7433;5,5534
1.386;7,7084;13,8150;5,6695
1.512;7,6597;13,8689;5,7674
1.638;7,6133;13,9054;5,8469
1.764;7,5694;13,9257;5,9090
1.890;7,5283;13,9311;5,9545
2.016;7,4900;13,9230;5,9847
2.142;7,4545;13,9028;6,0009
2.268;7,4217;;
2.394;7,3913;;
2.520;7,3633;;
2.646;7,3375;;
2.772;7,3136;;
2.898;7,2915;;
3.024;7,2711;;
3.150;7,2522;;
3.276;7,2346;;
3.402;7,2182;;
3.528;7,2030;;
3.654;7,1888;;
3.780;7,1754;;
3.906;7,1630;;
4.032;7,1513;;
4.158;7,1402;;
4.284;7,1299;;
4.410;7,1201;;
4.536;7,1108;;
4.662;7,1021;;
4.788;7,0938;;
4.914;7,0859;;
5.040;7,0784;;
5.166;7,0713;;
5.292;7,0645;;
5.418;7,0581;;
5.544;7,0519;;
5.670;7,0460;;
5.796;7,0404;;
5.922;7,0350;;
6.048;7,0298;;
6.174;7,0248;;
6.300;7,0201;;
6.426;7,0155;;
6.552;7,0111;;
6.678;7,0069;;
6.804;7,0028;;
6.930;6,9989;;
7.056;6,9951;;
7.182;6,9914;;
7.308;6,9879;;
7.434;6,9845;;
7.560;6,9812;;
7.686;6,9780;;
7.812;6,9749;;
7.938;6,9719;;
8.064;6,9690;;
8.190;6,9662;;
8.316;6,9635;;
8.442;6,9609;;
8.568;6,9583;;

PREFIXADOS (CIRCULAR 3.361)
Vertices;Taxa (%a.a.)
21;14,7943
42;14,7840
63;14,7262
126;14,4098
252;13,7409
504;13,2298
756;13,3276
1.008;13,5505
1.260;13,7433
2.520;

Erro Título a Título
Titulo;SELIC;Vencimento;Erro (%a.a.)
LTN;100000;01/01/2026;-0,1816
LTN;100000;01/04/2026;0,0772
LTN;100000;01/07/2026;-0,0062
LTN;100000;01/10/2026;-0,0254
LTN;100000;01/04/2027;-0,0265
LTN;100000;01/07/2027;0,0173
LTN;100000;01/10/2027;-0,0155
LTN;100000;01/01/2028;0,0613
LTN;100000;01/07/2028;0,0368
LTN;100000;01/01/2029;0,0037
LTN;100000;01/07/2029;-0,0213
LTN;100000;01/01/2030;0,0104
LTN;100000;01/01/2032;0,0723
NTN-F;950199;01/01/2027;0,0024
NTN-F;950199;01/01/2029;-0,0254
NTN-F;950199;01/01/2031;-0,0438
NTN-F;950199;01/01/2033;0,0036
NTN-F;950199;01/01/2035;0,0020
NTN-B;760199;15/08/2026;-0,1364
NTN-B;760199;15/05/2027;0,1056
NTN-B;760199;15/08/2028;-0,0546
NTN-B;760199;15/05/2029;0,0261
NTN-B;760199;15/08/2030;0,0104
NTN-B;760199;15/08/2032;-0,0432
NTN-B;760199;15/05/2033;-0,0616
NTN-B;760199;15/05/2035;0,0711
NTN-B;760199;15/08/2040;0,0449
NTN-B;760199;15/05/2045;0,0150
NTN-B;760199;15/08/2050;-0,0063
NTN-B;760199;15/05/2055;-0,0011
NTN-B;760199;15/08/2060;-0,0349

