Indicador,IndicadorDetalhe,Data,DataReferencia,Mediana,ano_ref,indicador_norm,detalhe_norm
Balança comercial,Exportações,2025-11-21,2025,344.65,2025,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2026,350.43,2026,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2027,365.0,2027,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2028,371.25,2028,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2029,375.0,2029,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2025,344.7,2025,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2026,350.6,2026,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2027,364.45,2027,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2028,365.3,2028,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-21,2029,369.0,2029,balanca comercial,exportacoes
Balança comercial,Importações,2025-11-21,2025,281.2008,2025,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2026,285.5,2026,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2027,290.9,2027,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2028,300.0,2028,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2029,305.0,2029,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2025,283.336,2025,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2026,286.3,2026,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2027,291.5039,2027,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2028,300.0,2028,balanca comercial,importacoes
Balança comercial,Importações,2025-11-21,2029,303.9,2029,balanca comercial,importacoes
Balança comercial,Saldo,2025-11-21,2025,62.1,2025,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2026,66.0,2026,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2027,70.85,2027,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2028,71.1,2028,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2029,70.0,2029,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2025,62.0,2025,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2026,66.3954,2026,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2027,70.35,2027,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2028,70.0,2028,balanca comercial,saldo
Balança comercial,Saldo,2025-11-21,2029,70.0,2029,balanca comercial,saldo
Câmbio,,2025-11-21,2025,5.4,2025,cambio,
Câmbio,,2025-11-21,2026,5.5,2026,cambio,
Câmbio,,2025-11-21,2027,5.5,2027,cambio,
Câmbio,,2025-11-21,2028,5.5,2028,cambio,
Câmbio,,2025-11-21,2029,5.51,2029,cambio,
Câmbio,,2025-11-21,2025,5.4,2025,cambio,
Câmbio,,2025-11-21,2026,5.5,2026,cambio,
Câmbio,,2025-11-21,2027,5.531,2027,cambio,
Câmbio,,2025-11-21,2028,5.52,2028,cambio,
Câmbio,,2025-11-21,2029,5.531,2029,cambio,
Conta corrente,,2025-11-21,2025,-72.43,2025,conta corrente,
Conta corrente,,2025-11-21,2026,-65.325,2026,conta corrente,
Conta corrente,,2025-11-21,2027,-62.304,2027,conta corrente,
Conta corrente,,2025-11-21,2028,-63.7,2028,conta corrente,
Conta corrente,,2025-11-21,2029,-65.0,2029,conta corrente,
Conta corrente,,2025-11-21,2025,-73.45,2025,conta corrente,
Conta corrente,,2025-11-21,2026,-65.36,2026,conta corrente,
Conta corrente,,2025-11-21,2027,-62.008,2027,conta corrente,
Conta corrente,,2025-11-21,2028,-63.7,2028,conta corrente,
Conta corrente,,2025-11-21,2029,-65.0,2029,conta corrente,
Dívida bruta do governo geral,,2025-11-21,2025,79.5,2025,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2026,83.8,2026,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2027,87.1,2027,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2028,89.05,2028,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2029,90.65,2029,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2030,92.0,2030,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2031,92.4001,2031,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2032,92.6501,2032,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2033,93.5,2033,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2034,93.5,2034,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2025,79.5,2025,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2026,83.7,2026,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2027,87.03,2027,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2028,89.05,2028,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2029,90.935,2029,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2030,92.02,2030,divida bruta do governo geral,
