Indicador,Data,DataReferencia,Mediana,ano_ref,indicador_norm,detalhe_norm
PIB Total,2025-11-21,2025,2.2367,2025,pib total,
PIB Total,2025-11-21,2026,1.91,2026,pib total,
PIB Total,2025-11-21,2027,1.9,2027,pib total,
PIB Total,2025-11-21,2028,2.2,2028,pib total,
PIB Total,2025-11-21,2029,2.2,2029,pib total,
PIB Total,2025-11-21,2025,2.1608,2025,pib total,
PIB Total,2025-11-21,2026,2.056,2026,pib total,
PIB Total,2025-11-21,2027,1.8,2027,pib total,
PIB Total,2025-11-21,2028,2.0,2028,pib total,
PIB Total,2025-11-21,2029,2.0,2029,pib total,
IPCA Administrados,2025-11-21,2025,5.3087,2025,ipca administrados,
IPCA Administrados,2025-11-21,2026,3.9022,2026,ipca administrados,
IPCA Administrados,2025-11-21,2027,4.0,2027,ipca administrados,
IPCA Administrados,2025-11-21,2028,3.9,2028,ipca administrados,
IPCA Administrados,2025-11-21,2029,3.75,2029,ipca administrados,
IGP-M,2025-11-21,2025,-0.4385,2025,igp-m,
IGP-M,2025-11-21,2026,4.07,2026,igp-m,
IGP-M,2025-11-21,2027,4.035,2027,igp-m,
IGP-M,2025-11-21,2028,4.75,2028,igp-m,
IGP-M,2025-11-21,2029,5.0,2029,igp-m,
IPCA,2025-11-21,2025,4.389,2025,ipca,
IPCA,2025-11-21,2026,4.0007,2026,ipca,
IPCA,2025-11-21,2027,3.99,2027,ipca,
IPCA,2025-11-21,2028,3.8,2028,ipca,
IPCA,2025-11-21,2029,3.745,2029,ipca,
IPCA,2025-11-21,2025,4.3885,2025,ipca,
IPCA,2025-11-21,2026,4.2072,2026,ipca,
IPCA,2025-11-21,2027,3.8938,2027,ipca,
IPCA,2025-11-21,2028,3.0,2028,ipca,
IPCA,2025-11-21,2029,3.0,2029,ipca,
IPCA,2025-11-21,2025,4.28,2025,ipca,
IPCA,2025-11-21,2026,4.0831,2026,ipca,
IPCA,2025-11-21,2027,3.49,2027,ipca,
IPCA,2025-11-21,2028,3.0,2028,ipca,
IPCA,2025-11-21,2029,3.0,2029,ipca,
Selic,2025-11-21,2025,15.0,2025,selic,
Selic,2025-11-21,2026,12.5,2026,selic,
Selic,2025-11-21,2027,10.5,2027,selic,
Selic,2025-11-21,2028,10.0,2028,selic,
Selic,2025-11-21,2029,9.75,2029,selic,
Selic,2025-11-21,2025,15.0,2025,selic,
Selic,2025-11-21,2026,12.5,2026,selic,
Selic,2025-11-21,2027,10.5,2027,selic,
Selic,2025-11-21,2028,9.0,2028,selic,
Selic,2025-11-21,2029,9.0,2029,selic,
Câmbio,2025-11-21,2025,5.3872,2025,cambio,
Câmbio,2025-11-21,2026,5.65,2026,cambio,
Câmbio,2025-11-21,2027,5.835,2027,cambio,
Câmbio,2025-11-21,2028,5.925,2028,cambio,
Câmbio,2025-11-21,2029,6.0,2029,cambio,
Câmbio,2025-11-21,2025,5.35,2025,cambio,
Câmbio,2025-11-21,2026,5.5,2026,cambio,
Câmbio,2025-11-21,2027,5.55,2027,cambio,
Câmbio,2025-11-21,2028,5.575,2028,cambio,
Câmbio,2025-11-21,2029,5.6,2029,cambio,
