data,valor
2006-12-01,55.48
2007-01-01,56.17
2007-02-01,56.9
2007-03-01,57.24
2007-04-01,57.17
2007-05-01,57.91
2007-06-01,58.23
2007-07-01,58.32
2007-08-01,58.46
2007-09-01,57.88
2007-10-01,57.49
2007-11-01,57.26
2007-12-01,56.72
2008-01-01,57.51
2008-02-01,57.04
2008-03-01,57.09
2008-04-01,56.52
2008-05-01,55.82
2008-06-01,55.6
2008-07-01,55.53
2008-08-01,54.95
2008-09-01,54.83
2008-10-01,55.05
2008-11-01,54.64
2008-12-01,55.98
2009-01-01,56.87
2009-02-01,57.18
2009-03-01,57.47
2009-04-01,56.8
2009-05-01,57.07
2009-06-01,58.34
2009-07-01,59.68
2009-08-01,60.77
2009-09-01,60.8
2009-10-01,61.0
2009-11-01,60.22
2009-12-01,59.21
2010-01-01,59.76
2010-02-01,59.03
2010-03-01,56.24
2010-04-01,56.05
2010-05-01,55.96
2010-06-01,55.78
2010-07-01,55.53
2010-08-01,54.98
2010-09-01,54.89
2010-10-01,55.07
2010-11-01,54.65
2010-12-01,51.77
2011-01-01,52.4
2011-02-01,52.37
2011-03-01,52.61
2011-04-01,52.61
2011-05-01,52.22
2011-06-01,52.35
2011-07-01,52.52
2011-08-01,52.29
2011-09-01,52.11
2011-10-01,51.7
2011-11-01,51.76
2011-12-01,51.27
2012-01-01,51.83
2012-02-01,52.22
2012-03-01,52.72
2012-04-01,53.22
2012-05-01,53.27
2012-06-01,53.42
2012-07-01,53.6
2012-08-01,53.33
2012-09-01,54.05
2012-10-01,54.52
2012-11-01,54.65
2012-12-01,53.67
2013-01-01,53.98
2013-02-01,54.03
2013-03-01,54.05
2013-04-01,53.78
2013-05-01,53.92
2013-06-01,53.61
2013-07-01,53.7
2013-08-01,53.44
2013-09-01,52.95
2013-10-01,53.1
2013-11-01,52.73
2013-12-01,51.54
2014-01-01,52.63
2014-02-01,51.84
2014-03-01,51.79
2014-04-01,52.0
2014-05-01,52.18
2014-06-01,52.75
2014-07-01,53.17
2014-08-01,53.81
2014-09-01,55.11
2014-10-01,55.43
2014-11-01,56.01
2014-12-01,56.28
2015-01-01,57.16
2015-02-01,58.28
2015-03-01,59.49
2015-04-01,59.11
2015-05-01,60.2
2015-06-01,60.75
2015-07-01,62.16
2015-08-01,62.97
2015-09-01,63.65
2015-10-01,63.93
2015-11-01,64.28
2015-12-01,65.5
2016-01-01,66.51
2016-02-01,66.66
2016-03-01,66.33
2016-04-01,66.62
2016-05-01,67.58
2016-06-01,67.51
2016-07-01,68.7
2016-08-01,69.33
2016-09-01,69.98
2016-10-01,69.78
2016-11-01,70.84
2016-12-01,69.84
2017-01-01,69.81
2017-02-01,70.39
2017-03-01,71.24
2017-04-01,71.38
2017-05-01,72.33
2017-06-01,72.74
2017-07-01,73.18
2017-08-01,73.62
2017-09-01,73.71
2017-10-01,74.12
2017-11-01,74.03
2017-12-01,73.72
2018-01-01,74.04
2018-02-01,74.51
2018-03-01,74.6
2018-04-01,74.96
2018-05-01,76.12
2018-06-01,76.13
2018-07-01,75.95
2018-08-01,76.02
2018-09-01,75.99
2018-10-01,75.29
2018-11-01,75.68
2018-12-01,75.27
2019-01-01,75.43
2019-02-01,75.51
2019-03-01,76.71
2019-04-01,77.12
2019-05-01,76.55
2019-06-01,76.67
2019-07-01,76.83
2019-08-01,77.56
2019-09-01,76.6
2019-10-01,75.79
2019-11-01,76.2
2019-12-01,74.44
2020-01-01,74.75
2020-02-01,75.15
2020-03-01,76.78
2020-04-01,78.04
2020-05-01,79.96
2020-06-01,82.87
2020-07-01,83.5
2020-08-01,85.84
2020-09-01,87.42
2020-10-01,87.67
2020-11-01,86.97
2020-12-01,86.94
2021-01-01,86.91
2021-02-01,86.87
2021-03-01,85.1
2021-04-01,82.62
2021-05-01,81.44
2021-06-01,80.6
2021-07-01,80.25
2021-08-01,79.64
2021-09-01,79.62
2021-10-01,79.52
2021-11-01,78.22
2021-12-01,77.31
2022-01-01,77.0
2022-02-01,76.92
2022-03-01,76.4
2022-04-01,76.33
2022-05-01,75.68
2022-06-01,75.61
2022-07-01,75.24
2022-08-01,74.56
2022-09-01,74.15
2022-10-01,73.7
2022-11-01,72.95
2022-12-01,71.68
2023-01-01,71.38
2023-02-01,71.77
2023-03-01,71.54
2023-04-01,71.57
2023-05-01,72.11
2023-06-01,71.97
2023-07-01,72.48
2023-08-01,72.89
2023-09-01,73.01
2023-10-01,73.32
2023-11-01,73.32
2023-12-01,73.83
2024-01-01,74.5
2024-02-01,74.86
2024-03-01,75.09
2024-04-01,75.25
2024-05-01,75.79
2024-06-01,76.85
2024-07-01,77.45
2024-08-01,77.66
2024-09-01,77.44
2024-10-01,77.7
2024-11-01,77.78
2024-12-01,76.5
2025-01-01,75.65
2025-02-01,75.94
2025-03-01,75.73
2025-04-01,75.83
2025-05-01,75.98
2025-06-01,76.54
2025-07-01,77.41
2025-08-01,77.52
2025-09-01,78.08
2025-10-01,78.64
