SERCODIGO,VALDATA,VALVALOR,NIVNOME,TERCODIGO,data,valor
CAGED12_SALDON12,2020-01-01T00:00:00-03:00,92678.0,,,2020-01-01,92678.0
CAGED12_SALDON12,2020-02-01T00:00:00-03:00,198368.0,,,2020-02-01,198368.0
CAGED12_SALDON12,2020-03-01T00:00:00-03:00,-232316.0,,,2020-03-01,-232316.0
CAGED12_SALDON12,2020-04-01T00:00:00-03:00,-902317.0,,,2020-04-01,-902317.0
CAGED12_SALDON12,2020-05-01T00:00:00-03:00,-352790.0,,,2020-05-01,-352790.0
CAGED12_SALDON12,2020-06-01T00:00:00-03:00,-23111.0,,,2020-06-01,-23111.0
CAGED12_SALDON12,2020-07-01T00:00:00-03:00,123297.0,,,2020-07-01,123297.0
CAGED12_SALDON12,2020-08-01T00:00:00-03:00,238125.0,,,2020-08-01,238125.0
CAGED12_SALDON12,2020-09-01T00:00:00-03:00,313564.0,,,2020-09-01,313564.0
CAGED12_SALDON12,2020-10-01T00:00:00-03:00,388938.0,,,2020-10-01,388938.0
CAGED12_SALDON12,2020-11-01T00:00:00-03:00,408948.0,,,2020-11-01,408948.0
CAGED12_SALDON12,2020-12-01T00:00:00-03:00,-82118.0,,,2020-12-01,-82118.0
CAGED12_SALDON12,2021-01-01T00:00:00-03:00,257059.0,,,2021-01-01,257059.0
CAGED12_SALDON12,2021-02-01T00:00:00-03:00,397915.0,,,2021-02-01,397915.0
CAGED12_SALDON12,2021-03-01T00:00:00-03:00,176330.0,,,2021-03-01,176330.0
CAGED12_SALDON12,2021-04-01T00:00:00-03:00,113922.0,,,2021-04-01,113922.0
CAGED12_SALDON12,2021-05-01T00:00:00-03:00,278705.0,,,2021-05-01,278705.0
CAGED12_SALDON12,2021-06-01T00:00:00-03:00,310036.0,,,2021-06-01,310036.0
CAGED12_SALDON12,2021-07-01T00:00:00-03:00,316725.0,,,2021-07-01,316725.0
CAGED12_SALDON12,2021-08-01T00:00:00-03:00,373344.0,,,2021-08-01,373344.0
CAGED12_SALDON12,2021-09-01T00:00:00-03:00,316993.0,,,2021-09-01,316993.0
CAGED12_SALDON12,2021-10-01T00:00:00-03:00,253083.0,,,2021-10-01,253083.0
CAGED12_SALDON12,2021-11-01T00:00:00-03:00,324112.0,,,2021-11-01,324112.0
CAGED12_SALDON12,2021-12-01T00:00:00-03:00,-265811.0,,,2021-12-01,-265811.0
CAGED12_SALDON12,2022-01-01T00:00:00-03:00,155178.0,,,2022-01-01,155178.0
CAGED12_SALDON12,2022-02-01T00:00:00-03:00,328507.0,,,2022-02-01,328507.0
CAGED12_SALDON12,2022-03-01T00:00:00-03:00,136189.0,,,2022-03-01,136189.0
CAGED12_SALDON12,2022-04-01T00:00:00-03:00,196966.0,,,2022-04-01,196966.0
CAGED12_SALDON12,2022-05-01T00:00:00-03:00,277018.0,,,2022-05-01,277018.0
CAGED12_SALDON12,2022-06-01T00:00:00-03:00,277944.0,,,2022-06-01,277944.0
CAGED12_SALDON12,2022-07-01T00:00:00-03:00,218902.0,,,2022-07-01,218902.0
CAGED12_SALDON12,2022-08-01T00:00:00-03:00,278639.0,,,2022-08-01,278639.0
CAGED12_SALDON12,2022-09-01T00:00:00-03:00,278085.0,,,2022-09-01,278085.0
CAGED12_SALDON12,2022-10-01T00:00:00-03:00,159454.0,,,2022-10-01,159454.0
CAGED12_SALDON12,2022-11-01T00:00:00-03:00,135495.0,,,2022-11-01,135495.0
CAGED12_SALDON12,2022-12-01T00:00:00-03:00,-431011.0,,,2022-12-01,-431011.0
CAGED12_SALDON12,2023-01-01T00:00:00-03:00,83297.0,,,2023-01-01,83297.0
CAGED12_SALDON12,2023-02-01T00:00:00-03:00,241785.0,,,2023-02-01,241785.0
CAGED12_SALDON12,2023-03-01T00:00:00-03:00,195171.0,,,2023-03-01,195171.0
CAGED12_SALDON12,2023-04-01T00:00:00-03:00,180005.0,,,2023-04-01,180005.0
CAGED12_SALDON12,2023-05-01T00:00:00-03:00,155270.0,,,2023-05-01,155270.0
CAGED12_SALDON12,2023-06-01T00:00:00-03:00,157198.0,,,2023-06-01,157198.0
CAGED12_SALDON12,2023-07-01T00:00:00-03:00,142702.0,,,2023-07-01,142702.0
CAGED12_SALDON12,2023-08-01T00:00:00-03:00,220844.0,,,2023-08-01,220844.0
CAGED12_SALDON12,2023-09-01T00:00:00-03:00,211764.0,,,2023-09-01,211764.0
CAGED12_SALDON12,2023-10-01T00:00:00-03:00,190366.0,,,2023-10-01,190366.0
CAGED12_SALDON12,2023-11-01T00:00:00-03:00,130097.0,,,2023-11-01,130097.0
CAGED12_SALDON12,2023-12-01T00:00:00-03:00,-430159.0,,,2023-12-01,-430159.0
CAGED12_SALDON12,2024-01-01T00:00:00-03:00,180395.0,,,2024-01-01,180395.0
CAGED12_SALDON12,2024-02-01T00:00:00-03:00,306111.0,,,2024-02-01,306111.0
CAGED12_SALDON12,2024-03-01T00:00:00-03:00,244315.0,,,2024-03-01,244315.0
CAGED12_SALDON12,2024-04-01T00:00:00-03:00,240033.0,,,2024-04-01,240033.0
CAGED12_SALDON12,2024-05-01T00:00:00-03:00,131811.0,,,2024-05-01,131811.0
CAGED12_SALDON12,2024-06-01T00:00:00-03:00,201705.0,,,2024-06-01,201705.0
CAGED12_SALDON12,2024-07-01T00:00:00-03:00,188021.0,,,2024-07-01,188021.0
CAGED12_SALDON12,2024-08-01T00:00:00-03:00,232513.0,,,2024-08-01,232513.0
CAGED12_SALDON12,2024-09-01T00:00:00-03:00,247818.0,,,2024-09-01,247818.0
CAGED12_SALDON12,2024-10-01T00:00:00-03:00,132714.0,,,2024-10-01,132714.0
CAGED12_SALDON12,2024-11-01T00:00:00-03:00,106625.0,,,2024-11-01,106625.0
CAGED12_SALDON12,2024-12-01T00:00:00-03:00,-535547.0,,,2024-12-01,-535547.0
CAGED12_SALDON12,2025-01-01T00:00:00-03:00,137303.0,,,2025-01-01,137303.0
CAGED12_SALDON12,2025-02-01T00:00:00-03:00,431995.0,,,2025-02-01,431995.0
CAGED12_SALDON12,2025-03-01T00:00:00-03:00,71576.0,,,2025-03-01,71576.0
CAGED12_SALDON12,2025-04-01T00:00:00-03:00,257528.0,,,2025-04-01,257528.0
CAGED12_SALDON12,2025-05-01T00:00:00-03:00,148992.0,,,2025-05-01,148992.0
CAGED12_SALDON12,2025-06-01T00:00:00-03:00,166621.0,,,2025-06-01,166621.0
CAGED12_SALDON12,2025-07-01T00:00:00-03:00,129775.0,,,2025-07-01,129775.0
CAGED12_SALDON12,2025-08-01T00:00:00-03:00,147358.0,,,2025-08-01,147358.0
CAGED12_SALDON12,2025-09-01T00:00:00-03:00,213002.0,,,2025-09-01,213002.0
CAGED12_SALDON12,2025-10-01T00:00:00-03:00,85147.0,,,2025-10-01,85147.0
