Data;ICE Com Ajuste Sazonal - Índice de Confiança Empresarial (CNAE 2.0)(1428467);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212)
01/2001;104,800; - ; - ; - ; - ;105,700
02/2001;103,600; - ; - ; - ; - ;107,000
03/2001;103,300; - ; - ; - ; - ;103,400
04/2001;102,100; - ; - ; - ; - ;101,700
05/2001;101,100; - ; - ; - ; - ;98,300
06/2001;98,900; - ; - ; - ; - ;94,300
07/2001;96,400; - ; - ; - ; - ;89,100
08/2001;93,900; - ; - ; - ; - ;85,800
09/2001;90,700; - ; - ; - ; - ;83,500
10/2001;88,300; - ; - ; - ; - ;82,900
11/2001;91,900; - ; - ; - ; - ;92,200
12/2001;94,600; - ; - ; - ; - ;99,800
01/2002;97,600; - ; - ; - ; - ;99,400
02/2002;97,800; - ; - ; - ; - ;101,700
03/2002;98,500; - ; - ; - ; - ;99,500
04/2002;99,300; - ; - ; - ; - ;99,900
05/2002;99,500; - ; - ; - ; - ;97,000
06/2002;99,100; - ; - ; - ; - ;94,200
07/2002;98,700; - ; - ; - ; - ;90,300
08/2002;98,500; - ; - ; - ; - ;90,800
09/2002;98,400; - ; - ; - ; - ;92,200
10/2002;99,000; - ; - ; - ; - ;95,000
11/2002;99,000; - ; - ; - ; - ;100,800
12/2002;98,600; - ; - ; - ; - ;105,200
01/2003;98,200; - ; - ; - ; - ;102,700
02/2003;96,800; - ; - ; - ; - ;102,100
03/2003;95,200; - ; - ; - ; - ;97,500
04/2003;93,900; - ; - ; - ; - ;95,000
05/2003;91,800; - ; - ; - ; - ;91,000
06/2003;89,200; - ; - ; - ; - ;86,800
07/2003;86,200; - ; - ; - ; - ;81,800
08/2003;92,300; - ; - ; - ; - ;86,600
09/2003;98,400; - ; - ; - ; - ;92,500
10/2003;105,200; - ; - ; - ; - ;99,600
11/2003;104,800; - ; - ; - ; - ;104,600
12/2003;104,400; - ; - ; - ; - ;108,000
01/2004;103,500; - ; - ; - ; - ;106,200
02/2004;103,900; - ; - ; - ; - ;107,400
03/2004;104,700; - ; - ; - ; - ;105,900
04/2004;104,900; - ; - ; - ; - ;106,000
05/2004;109,500; - ; - ; - ; - ;107,700
06/2004;113,100; - ; - ; - ; - ;109,100
07/2004;117,200; - ; - ; - ; - ;110,300
08/2004;116,000; - ; - ; - ; - ;109,600
09/2004;115,300; - ; - ; - ; - ;110,400
10/2004;114,700; - ; - ; - ; - ;112,400
11/2004;113,800; - ; - ; - ; - ;113,000
12/2004;111,700; - ; - ; - ; - ;112,300
01/2005;109,400; - ; - ; - ; - ;106,800
02/2005;106,500; - ; - ; - ; - ;106,600
