sigla,nome,mes_ref,data_divulgacao,pontos,delta_pts,url,titulo
ICC,Confiança do Consumidor (ICC),2005-09,,87.3,,,
ICC,Confiança do Consumidor (ICC),2005-10,,89.6,2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2005-11,,87.4,-2.1999999999999886,,
ICC,Confiança do Consumidor (ICC),2005-12,,88.9,1.5,,
ICC,Confiança do Consumidor (ICC),2006-01,,93.7,4.799999999999997,,
ICC,Confiança do Consumidor (ICC),2006-02,,93.1,-0.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2006-03,,93.5,0.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2006-04,,91.7,-1.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2006-05,,90.8,-0.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2006-06,,90.6,-0.20000000000000284,,
ICC,Confiança do Consumidor (ICC),2006-07,,91.0,0.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2006-08,,91.4,0.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2006-09,,90.8,-0.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2006-10,,94.3,3.5,,
ICC,Confiança do Consumidor (ICC),2006-11,,96.1,1.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2006-12,,98.2,2.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2007-01,,97.8,-0.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2007-02,,99.0,1.2000000000000028,,
ICC,Confiança do Consumidor (ICC),2007-03,,96.0,-3.0,,
ICC,Confiança do Consumidor (ICC),2007-04,,96.7,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2007-05,,99.3,2.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2007-06,,100.4,1.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2007-07,,98.7,-1.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2007-08,,99.0,0.29999999999999716,,
ICC,Confiança do Consumidor (ICC),2007-09,,98.9,-0.09999999999999432,,
ICC,Confiança do Consumidor (ICC),2007-10,,101.4,2.5,,
ICC,Confiança do Consumidor (ICC),2007-11,,102.4,1.0,,
ICC,Confiança do Consumidor (ICC),2007-12,,108.4,6.0,,
ICC,Confiança do Consumidor (ICC),2008-01,,103.1,-5.300000000000011,,
ICC,Confiança do Consumidor (ICC),2008-02,,104.6,1.5,,
ICC,Confiança do Consumidor (ICC),2008-03,,108.5,3.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2008-04,,103.0,-5.5,,
ICC,Confiança do Consumidor (ICC),2008-05,,105.1,2.0999999999999943,,
ICC,Confiança do Consumidor (ICC),2008-06,,98.4,-6.699999999999989,,
ICC,Confiança do Consumidor (ICC),2008-07,,94.3,-4.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2008-08,,97.1,2.799999999999997,,
ICC,Confiança do Consumidor (ICC),2008-09,,99.8,2.700000000000003,,
ICC,Confiança do Consumidor (ICC),2008-10,,89.8,-10.0,,
ICC,Confiança do Consumidor (ICC),2008-11,,84.8,-5.0,,
ICC,Confiança do Consumidor (ICC),2008-12,,84.8,0.0,,
ICC,Confiança do Consumidor (ICC),2009-01,,86.4,1.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2009-02,,84.9,-1.5,,
ICC,Confiança do Consumidor (ICC),2009-03,,87.7,2.799999999999997,,
ICC,Confiança do Consumidor (ICC),2009-04,,88.2,0.5,,
ICC,Confiança do Consumidor (ICC),2009-05,,90.1,1.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2009-06,,94.2,4.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2009-07,,96.6,2.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2009-08,,95.9,-0.6999999999999886,,
ICC,Confiança do Consumidor (ICC),2009-09,,97.1,1.1999999999999886,,
ICC,Confiança do Consumidor (ICC),2009-10,,97.8,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2009-11,,99.4,1.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2009-12,,97.6,-1.8000000000000114,,
ICC,Confiança do Consumidor (ICC),2010-01,,99.4,1.8000000000000114,,
ICC,Confiança do Consumidor (ICC),2010-02,,96.8,-2.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2010-03,,99.0,2.200000000000003,,
ICC,Confiança do Consumidor (ICC),2010-04,,101.4,2.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2010-05,,103.5,2.0999999999999943,,
ICC,Confiança do Consumidor (ICC),2010-06,,105.0,1.5,,
ICC,Confiança do Consumidor (ICC),2010-07,,104.0,-1.0,,
ICC,Confiança do Consumidor (ICC),2010-08,,105.7,1.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2010-09,,106.5,0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2010-10,,106.0,-0.5,,
ICC,Confiança do Consumidor (ICC),2010-11,,109.3,3.299999999999997,,
ICC,Confiança do Consumidor (ICC),2010-12,,107.1,-2.200000000000003,,
ICC,Confiança do Consumidor (ICC),2011-01,,108.4,1.3000000000000114,,
ICC,Confiança do Consumidor (ICC),2011-02,,108.5,0.09999999999999432,,
ICC,Confiança do Consumidor (ICC),2011-03,,106.2,-2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2011-04,,103.3,-2.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2011-05,,102.6,-0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2011-06,,104.7,2.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2011-07,,108.8,4.099999999999994,,
ICC,Confiança do Consumidor (ICC),2011-08,,104.0,-4.799999999999997,,
ICC,Confiança do Consumidor (ICC),2011-09,,100.1,-3.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2011-10,,103.4,3.3000000000000114,,
ICC,Confiança do Consumidor (ICC),2011-11,,105.7,2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2011-12,,107.0,1.2999999999999972,,
ICC,Confiança do Consumidor (ICC),2012-01,,103.6,-3.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-02,,106.8,3.200000000000003,,
ICC,Confiança do Consumidor (ICC),2012-03,,109.8,3.0,,
ICC,Confiança do Consumidor (ICC),2012-04,,113.2,3.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-05,,112.4,-0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2012-06,,109.6,-2.8000000000000114,,
ICC,Confiança do Consumidor (ICC),2012-07,,108.0,-1.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2012-08,,106.6,-1.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-09,,107.1,0.5,,
ICC,Confiança do Consumidor (ICC),2012-10,,108.0,0.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-11,,106.6,-1.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-12,,105.6,-1.0,,
ICC,Confiança do Consumidor (ICC),2013-01,,106.3,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2013-02,,105.2,-1.0999999999999943,,
ICC,Confiança do Consumidor (ICC),2013-03,,102.3,-2.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2013-04,,103.2,0.9000000000000057,,
